Year,Access_Electricity,Agriculture_GDP,Battle_Deaths,CO2_Emissions,Education_Expenditure,Exports_GDP,FDI_Inflows_GDP,GDP_Growth,GDP_USD,Health_Expenditure,Imports_GDP,Industry_GDP,Inflation,Internet_Usage,Life_Expectancy,Manufacturing_GDP,Mobile_Subscriptions,Oil_Rents,Population,Population_Growth,Services_GDP,Unemployment,Trade_Balance_GDP,Trade_Openness,Industry_Non_Mfg_GDP,GDP_Growth_Lag1,Inflation_Lag1,Oil_Rents_Lag1,GDP_Growth_Roll3,Inflation_Roll3,Log_GDP_USD,Log_Population,Log_CO2_Emissions
1991-01-01,98.64002991,11.10697987,34.0,66428.5,5.709405814,29.11782217,0.025458852,-1.200000586,45715676428.0,3.48903275,23.59976454,44.239049,25.88638693,0.0,67.688,34.47905286,0.018294243,13.54176563,26133905.0,2.384652804,38.97849977,20.6,5.518057630000001,52.71758671,9.759996139999998,0.80000058,16.65253439,15.79697334,1.3333340516666636,17.281094192666668,24.54570710510651,17.07874410967774,11.103896513911106
1992-01-01,98.64002991,11.10697987,257.0,66844.6,5.628677232,25.31959428,0.06249592,1.800002303,48003133347.0,3.48903275,23.86948996,44.239049,31.66966191,0.0,67.757,34.47905286,0.017874031,13.04522677,26748303.0,2.323751863,38.97849977,24.38,1.4501043200000012,49.18908424,9.759996139999998,-1.200000586,25.88638693,13.54176563,0.4666674323333304,24.73619441,24.594532123807113,17.101981627427147,11.110140761366168
1993-01-01,98.64002991,11.10697987,800.0,72219.1,5.54794865,21.783877,2e-06,-2.100000758,49945584453.0,3.48903275,23.13893637,44.239049,20.54032612,0.0,67.719,34.47905286,0.017478039,11.71643606,27354327.0,2.240369269,38.97849977,26.23,-1.3550593699999993,44.92281337,9.759996139999998,1.800002303,31.66966191,13.04522677,-0.49999968033333636,26.032124986666663,24.634199938814206,17.124385319285427,11.18747367948848
1994-01-01,98.64002991,11.10697987,1916.0,73606.2,5.467220068,22.53072525,2.35e-06,-0.899996552,42543176829.0,3.48903275,26.05371254,44.239049,29.04765612,0.000360674,67.361,34.47905286,0.004825141,12.68652252,27937006.0,2.107746513,38.97849977,27.74,-3.5229872899999997,48.584437789999996,9.759996139999998,-2.100000758,20.54032612,11.71643606,-0.39999833566666965,27.085881383333334,24.473785322585574,17.145462783649922,11.206498126019264
1995-01-01,98.64002991,11.10697987,3008.0,76440.2,5.386491486,26.19477598,2.39e-06,3.79999479,41764291672.0,3.48903275,28.99622923,44.239049,29.77962649,0.001768954,67.454,34.47905286,0.016472352,14.17748132,28478022.0,1.918044199,38.97849977,31.84,-2.8014532500000016,55.19100521,9.759996139999998,-0.899996552,29.04765612,12.68652252,0.26666582666666355,26.455869576666668,24.455307545187644,17.164643224963736,11.244277096818115
1996-01-01,98.64002991,11.10697987,1084.0,76123.8,5.305762904,29.76044833,0.575183341,4.09999847,46941554225.0,3.48903275,23.94469955,44.239049,18.67907586,0.001738533,68.749,34.47905286,0.040366216,16.3135924,28984634.0,1.763319561,38.97849977,28.515,5.81574878,53.70514788,9.759996139999998,3.79999479,29.77962649,14.17748132,2.333332235999997,25.83545282333333,24.572169137728675,17.18227641995631,11.240129377750947
1997-01-01,98.64002991,11.10697987,1403.0,74433.2,5.225034322,30.90631138,0.539669753,1.099999939,48177612042.0,3.48903275,21.33760013,44.239049,5.733522754,0.010268463,69.171,34.47905286,0.059031014,14.79013496,29476031.0,1.681159712,38.97849977,25.43,9.568711250000003,52.243911510000004,9.759996139999998,4.09999847,18.67907586,16.3135924,2.999997732999997,18.06407503466667,24.59816026966283,17.199088016497424,11.21767079262124
1998-01-01,98.64002991,11.10697987,3029.0,74649.1,5.14430574,22.57835401,1.258825318,5.100003609,48187781984.0,3.48903275,22.51609655,44.239049,4.950161638,0.020238555,69.451,34.47905286,0.060151043,9.01756332,29924668.0,1.510573237,38.97849977,26.64,0.06225746000000143,45.09445056,9.759996139999998,1.099999939,5.733522754,14.79013496,3.433334005999997,9.787586750666668,24.59837134008163,17.21419374836134,11.220567142551168
1999-01-01,98.64002991,11.10697987,1031.0,77505.3,5.063577158,28.15011312,0.5994983,3.200001554,48640671735.0,3.48903275,22.77899622,44.239049,2.645511134,0.199523843,70.032,34.47905286,0.237262911,12.95566738,30346083.0,1.398429124,38.97849977,28.304,5.3711169000000005,50.92910934,9.759996139999998,5.100003609,4.950161638,9.01756332,3.133335033999997,4.4430651753333334,24.607725884870803,17.228178039138363,11.25811450236014
2000-01-01,98.64002991,8.395048495,947.0,80046.8,4.982848576,42.06971772,0.511220957,3.800000002,54790398570.0,3.48903275,20.78862591,53.33096965,0.339163189,0.491705679,70.478,44.98039779,0.279451045,20.20389451,30774621.0,1.402290858,33.11054601,29.77,21.28109181,62.85834363,8.350571860000002,3.200001554,2.645511134,12.95566738,4.033335054999998,2.6449453203333335,24.726780806991176,17.242200947262365,11.290379235223966
